采集时间,输入,BV号,标题,UP主,UP主mid,上传时间,总播放量,点赞数,投币数,收藏数,转发数,评论数,弹幕数,在线人数
2026-04-23 21:39:05,https://www.bilibili.com/video/BV1L8APzFEka/?spm_id_from=333.1387.favlist.content.click&vd_source=406d0cf895bedbdc58a3d0130d55e34c,BV1L8APzFEka,多网页测试3,喜欢吃鸡蛋果,3691007835114399,2026-03-21 20:04:46,2203,0,0,2,30,0,0,1
2026-04-23 21:39:05,https://www.bilibili.com/video/BV17S6MBpEUz/?spm_id_from=333.1387.favlist.content.click&vd_source=bdf775a036c61c0159ac2f0c251aaeb7,BV17S6MBpEUz,多网页自测4,白颜夕,4980992,2026-01-27 14:01:58,2718,0,0,9,18,0,0,1
2026-04-23 21:39:05,https://www.bilibili.com/video/BV1VhAPzbEme/?spm_id_from=333.1387.favlist.content.click&vd_source=bdf775a036c61c0159ac2f0c251aaeb7,BV1VhAPzbEme,防吞,爱磕糖的兔子Y,628963336,2026-03-21 20:01:30,2149,2,0,2,12,0,0,1
2026-04-23 21:39:05,https://www.bilibili.com/video/BV1wH6uBhEYF/?spm_id_from=333.1387.favlist.content.click&vd_source=bdf775a036c61c0159ac2f0c251aaeb7,BV1wH6uBhEYF,多网页测试1,我要在森林里盖房子,3690983430556566,2026-01-27 13:37:56,2544,0,0,9,13,0,0,1
2026-04-23 21:39:05,https://www.bilibili.com/video/BV1LD6MBQEfs/?spm_id_from=333.1387.favlist.content.click&vd_source=bdf775a036c61c0159ac2f0c251aaeb7,BV1LD6MBQEfs,多网页测试2,一个热年糕,473313939,2026-01-27 13:54:51,2546,0,0,6,15,0,0,1
2026-04-23 21:39:05,https://www.bilibili.com/video/BV1J7Awz8EUZ/?spm_id_from=333.1387.favlist.content.click,BV1J7Awz8EUZ,自测鸡蛋果,喜欢吃鸡蛋果,3691007835114399,2026-03-21 16:17:31,540,0,0,1,1,0,0,1
2026-04-23 21:39:05,https://www.bilibili.com/video/BV1UAdsBXEVU/?spm_id_from=333.1387.homepage.video_card.click&vd_source=bdf775a036c61c0159ac2f0c251aaeb7,BV1UAdsBXEVU,自测2号鸡蛋果,喜欢吃鸡蛋果,3691007835114399,2026-04-18 22:55:52,172,4,0,1,0,0,0,1
2026-04-23 21:39:05,https://www.bilibili.com/video/BV1DsQGBLE54/?spm_id_from=333.1387.favlist.content.click,BV1DsQGBLE54,自测无登录鸡蛋果,喜欢吃鸡蛋果,3691007835114399,2026-04-14 21:59:19,318,3,0,1,0,0,0,1
2026-04-23 21:39:05,https://www.bilibili.com/video/BV1etdCBEEwp/?spm_id_from=333.1387.homepage.video_card.click,BV1etdCBEEwp,自测不登录2鸡蛋果,喜欢吃鸡蛋果,3691007835114399,2026-04-20 23:50:34,106,3,0,1,0,0,0,1
2026-04-23 22:39:10,https://www.bilibili.com/video/BV1L8APzFEka/?spm_id_from=333.1387.favlist.content.click&vd_source=406d0cf895bedbdc58a3d0130d55e34c,BV1L8APzFEka,多网页测试3,喜欢吃鸡蛋果,3691007835114399,2026-03-21 20:04:46,2212,0,0,2,30,0,0,1
2026-04-23 22:39:10,https://www.bilibili.com/video/BV17S6MBpEUz/?spm_id_from=333.1387.favlist.content.click&vd_source=bdf775a036c61c0159ac2f0c251aaeb7,BV17S6MBpEUz,多网页自测4,白颜夕,4980992,2026-01-27 14:01:58,2726,0,0,9,18,0,0,1
2026-04-23 22:39:10,https://www.bilibili.com/video/BV1VhAPzbEme/?spm_id_from=333.1387.favlist.content.click&vd_source=bdf775a036c61c0159ac2f0c251aaeb7,BV1VhAPzbEme,防吞,爱磕糖的兔子Y,628963336,2026-03-21 20:01:30,2157,2,0,2,12,0,0,1
2026-04-23 22:39:10,https://www.bilibili.com/video/BV1wH6uBhEYF/?spm_id_from=333.1387.favlist.content.click&vd_source=bdf775a036c61c0159ac2f0c251aaeb7,BV1wH6uBhEYF,多网页测试1,我要在森林里盖房子,3690983430556566,2026-01-27 13:37:56,2552,0,0,9,13,0,0,1
2026-04-23 22:39:10,https://www.bilibili.com/video/BV1LD6MBQEfs/?spm_id_from=333.1387.favlist.content.click&vd_source=bdf775a036c61c0159ac2f0c251aaeb7,BV1LD6MBQEfs,多网页测试2,一个热年糕,473313939,2026-01-27 13:54:51,2555,0,0,6,15,0,0,1
2026-04-23 22:39:10,https://www.bilibili.com/video/BV1J7Awz8EUZ/?spm_id_from=333.1387.favlist.content.click,BV1J7Awz8EUZ,自测鸡蛋果,喜欢吃鸡蛋果,3691007835114399,2026-03-21 16:17:31,540,0,0,1,1,0,0,1
2026-04-23 22:39:10,https://www.bilibili.com/video/BV1UAdsBXEVU/?spm_id_from=333.1387.homepage.video_card.click&vd_source=bdf775a036c61c0159ac2f0c251aaeb7,BV1UAdsBXEVU,自测2号鸡蛋果,喜欢吃鸡蛋果,3691007835114399,2026-04-18 22:55:52,172,4,0,1,0,0,0,1
2026-04-23 22:39:10,https://www.bilibili.com/video/BV1DsQGBLE54/?spm_id_from=333.1387.favlist.content.click,BV1DsQGBLE54,自测无登录鸡蛋果,喜欢吃鸡蛋果,3691007835114399,2026-04-14 21:59:19,326,3,0,1,0,0,0,1
2026-04-23 22:39:10,https://www.bilibili.com/video/BV1etdCBEEwp/?spm_id_from=333.1387.homepage.video_card.click,BV1etdCBEEwp,自测不登录2鸡蛋果,喜欢吃鸡蛋果,3691007835114399,2026-04-20 23:50:34,106,3,0,1,0,0,0,1
2026-04-23 23:39:14,https://www.bilibili.com/video/BV1L8APzFEka/?spm_id_from=333.1387.favlist.content.click&vd_source=406d0cf895bedbdc58a3d0130d55e34c,BV1L8APzFEka,多网页测试3,喜欢吃鸡蛋果,3691007835114399,2026-03-21 20:04:46,2221,0,0,2,30,0,0,1
2026-04-23 23:39:14,https://www.bilibili.com/video/BV17S6MBpEUz/?spm_id_from=333.1387.favlist.content.click&vd_source=bdf775a036c61c0159ac2f0c251aaeb7,BV17S6MBpEUz,多网页自测4,白颜夕,4980992,2026-01-27 14:01:58,2735,0,0,9,18,0,0,1
2026-04-23 23:39:14,https://www.bilibili.com/video/BV1VhAPzbEme/?spm_id_from=333.1387.favlist.content.click&vd_source=bdf775a036c61c0159ac2f0c251aaeb7,BV1VhAPzbEme,防吞,爱磕糖的兔子Y,628963336,2026-03-21 20:01:30,2166,2,0,2,12,0,0,1
2026-04-23 23:39:14,https://www.bilibili.com/video/BV1wH6uBhEYF/?spm_id_from=333.1387.favlist.content.click&vd_source=bdf775a036c61c0159ac2f0c251aaeb7,BV1wH6uBhEYF,多网页测试1,我要在森林里盖房子,3690983430556566,2026-01-27 13:37:56,2561,0,0,9,13,0,0,1
2026-04-23 23:39:14,https://www.bilibili.com/video/BV1LD6MBQEfs/?spm_id_from=333.1387.favlist.content.click&vd_source=bdf775a036c61c0159ac2f0c251aaeb7,BV1LD6MBQEfs,多网页测试2,一个热年糕,473313939,2026-01-27 13:54:51,2564,0,0,6,15,0,0,1
2026-04-23 23:39:14,https://www.bilibili.com/video/BV1J7Awz8EUZ/?spm_id_from=333.1387.favlist.content.click,BV1J7Awz8EUZ,自测鸡蛋果,喜欢吃鸡蛋果,3691007835114399,2026-03-21 16:17:31,540,0,0,1,1,0,0,1
2026-04-23 23:39:14,https://www.bilibili.com/video/BV1UAdsBXEVU/?spm_id_from=333.1387.homepage.video_card.click&vd_source=bdf775a036c61c0159ac2f0c251aaeb7,BV1UAdsBXEVU,自测2号鸡蛋果,喜欢吃鸡蛋果,3691007835114399,2026-04-18 22:55:52,172,4,0,1,0,0,0,1
2026-04-23 23:39:14,https://www.bilibili.com/video/BV1DsQGBLE54/?spm_id_from=333.1387.favlist.content.click,BV1DsQGBLE54,自测无登录鸡蛋果,喜欢吃鸡蛋果,3691007835114399,2026-04-14 21:59:19,335,3,0,1,0,0,0,1
2026-04-23 23:39:14,https://www.bilibili.com/video/BV1etdCBEEwp/?spm_id_from=333.1387.homepage.video_card.click,BV1etdCBEEwp,自测不登录2鸡蛋果,喜欢吃鸡蛋果,3691007835114399,2026-04-20 23:50:34,106,3,0,1,0,0,0,1
